Date,Open,High,Low,Close,Volume,Adj Close
2015-06-22,11138.709961,11635.849609,11138.549805,11473.129883,91847800,11473.129883
2015-06-15,11053.209961,11246.269531,10797.849609,11040.099609,68445200,11040.099609
2015-06-08,11131.860352,11452.94043,10864.679688,11196.490234,94164500,11196.490234
2015-06-01,11462.969727,11515.209961,11155.009766,11197.150391,87278000,11197.150391
2015-05-26,11841.480469,11920.30957,11403.820312,11413.820312,98464100,11413.820312
2015-05-18,11464.799805,11881.80957,11378.860352,11815.009766,74235600,11815.009766
2015-05-11,11674.519531,11702.129883,11218.540039,11447.030273,88595100,11447.030273
2015-05-04,11506.839844,11751.219727,11167.549805,11709.730469,103605300,11709.730469
2015-04-27,11881.25,12050.709961,11331.370117,11454.379883,118829800,11454.379883
2015-04-20,11736.400391,12079.030273,11675.580078,11810.849609,79418500,11810.849609
2015-04-13,12357.269531,12388.129883,11674.589844,11688.700195,85527800,11688.700195
2015-04-07,12057.339844,12390.75,12017.799805,12374.730469,73790900,12374.730469
2015-03-30,11927.139648,12119.709961,11880.19043,11967.389648,79184500,11967.389648
2015-03-23,11984.790039,12030.589844,11619.719727,11868.330078,94229600,11868.330078
2015-03-16,11955.820312,12219.049805,11787.299805,12039.370117,120806000,12039.370117
2015-03-09,11510.349609,11903.330078,11402.669922,11901.610352,43599500,11901.610352
2015-03-02,11408.280273,11600.370117,11193.299805,11550.969727,32026500,11550.969727
2015-02-23,11150.469727,11401.660156,11069.769531,11401.660156,81337500,11401.660156
2015-02-16,10946.879883,11081.80957,10765.019531,11050.639648,38416700,11050.639648
2015-02-09,10765.209961,11013.849609,10594.320312,10963.400391,51667400,10963.400391
2015-02-02,10719.179688,10984.69043,10677.389648,10846.389648,55648400,10846.389648
2015-01-26,10592.969727,10810.570312,10552.759766,10694.320312,82880100,10694.320312
2015-01-19,10231.580078,10704.320312,10149.769531,10649.580078,100092600,10649.580078
2015-01-12,9697.459961,10207.969727,9622.320312,10167.769531,24263300,10167.769531
2015-01-05,9735.650391,9860.179688,9382.820312,9648.50,000,9648.50
2014-12-29,9914.870117,9927.849609,9687.259766,9764.730469,000,9764.730469
2014-12-22,9827.259766,9924.009766,9826.549805,9922.110352,000,9922.110352
2014-12-15,9599.820312,9901.259766,9219.049805,9786.959961,136063700,9786.959961
2014-12-08,10060.910156,10084.950195,9586.219727,9594.730469,92206800,9594.730469
2014-12-01,9915.740234,10093.030273,9835.419922,10087.120117,96095700,10087.120117
2014-11-24,9722.30957,9992.669922,9711.769531,9980.849609,97623500,9980.849609
2014-11-17,9162.269531,9736.139648,9161.599609,9732.549805,93580500,9732.549805
2014-11-10,9233.870117,9400.900391,9170.280273,9252.94043,80749900,9252.94043
2014-11-03,9305.730469,9467.360352,9148.780273,9291.830078,95923500,9291.830078
2014-10-27,9080.799805,9339.330078,8837.660156,9326.870117,104599500,9326.870117
2014-10-20,8819.259766,9068.120117,8644.709961,8987.799805,105310200,8987.799805
2014-10-13,8703.849609,8872.400391,8354.969727,8850.269531,157785000,8850.269531
2014-10-06,9341.049805,9343.650391,8788.209961,8788.80957,117478400,8788.80957
2014-09-29,9495.580078,9520.969727,9195.679688,9195.679688,93296500,9195.679688
2014-09-22,9748.530273,9812.769531,9454.879883,9490.549805,85844800,9490.549805
2014-09-15,9603.969727,9891.200195,9588.650391,9799.259766,92363800,9799.259766
2014-09-08,9767.900391,9773.700195,9617.700195,9651.129883,57460400,9651.129883
2014-09-01,9484.530273,9774.650391,9424.780273,9747.019531,74469500,9747.019531
2014-08-25,9456.669922,9600.849609,9369.400391,9470.169922,65983600,9470.169922
2014-08-18,9220.990234,9414.389648,9195.110352,9339.169922,64551300,9339.169922
2014-08-11,9106.669922,9324.570312,9050.00,9092.599609,85782200,9092.599609
2014-08-04,9222.049805,9243.230469,8903.490234,9009.320312,93046700,9009.320312
2014-07-28,9660.709961,9704.009766,9185.410156,9210.080078,98130100,9210.080078
2014-07-21,9711.679688,9810.469727,9597.620117,9644.009766,67222000,9644.009766
2014-07-14,9710.919922,9871.580078,9655.509766,9720.019531,78499400,9720.019531
2014-07-07,9992.129883,10015.360352,9617.589844,9666.339844,75823700,9666.339844
2014-06-30,9833.849609,10032.280273,9800.080078,10009.080078,64346500,10009.080078
